연번,동명,주소,구분,세부위치(건물명 또는 상호),박스수량
275,잠실7동,서울특별시 송파구 올림픽로4길 48,공동주택,우성상가 재활용품 수집장(지하주차장입구),1
276,잠실7동,서울특별시 송파구 올림픽로4길 40,공동주택,우성아파트 관리사무소,5
277,잠실7동,서울특별시 송파구 올림픽로4길 15,공동주택,아시아선수촌아파트 관리사무소,1
278,잠실7동,서울특별시 송파구 올림픽로4길 42,공동주택,우성아파트 27동~28동 사이,1
279,잠실7동,서울특별시 송파구 올림픽로4길 42,공동주택,우성아파트 2동 앞,1
280,잠실7동,서울특별시 송파구 올림픽로4길 15,주민센터,아시아선수촌상가재활용품수집장(잠실7동사무소),1
281,잠실본동,서울시 송파구 백제고분로18길 7,공동주택,잠실현대아파트 101동 앞. 102동 앞,2
282,잠실본동,서울시 송파구 백제고분로18길 26,공동주택,"우성4차아파트 103동,107동 앞",2
283,잠실본동,서울시 송파구 백제고분로15길 9,주민센터,잠실본동주민센타건물옆,2
284,장지동,서울특별시 송파구 새말로19길 6,주민센터,장지동주민센터,1
285,장지동,서울특별시 송파구 새말로10길 3-16,주택가,개나리공원내,1
286,장지동,서울특별시 송파구 송이로31길 52,공동주택,문정시영아파트,1
287,장지동,서울특별시 송파구 새말로8길 12,공동주택,건영아파트,1
288,장지동,서울특별시 송파구 송이로 257,공동주택,대우3차아파트,1
289,장지동,서울특별시 송파구 송이로31길 66,공동주택,세양청마루아파트,1
290,장지동,서울시 송파구 충민로 188,공동주택,101동 앞 재활용품 처리장,1
291,장지동,서울시 송파구 충민로 188,공동주택,103동 앞 재활용품 처리장,1
292,장지동,서울시 송파구 충민로 188,공동주택,104동 앞 재활용품 처리장,1
293,장지동,서울시 송파구 충민로 188,공동주택,106동 앞 재활용품 처리장,1
294,장지동,서울시 송파구 충민로 151,공동주택,204동 앞 재활용품 처리장,1
295,장지동,서울시 송파구 충민로 152,공동주택,301동 정문 경비실 옆,1
296,장지동,서울시 송파구 충민로 152,공동주택,304동 앞 재활용품 처리장,1
297,장지동,서울시 송파구 충민로 152,공동주택,310동 앞 재활용품 처리장,1
298,장지동,서울 송파구 새말로12길 16,공동주택,경비실 앞 재활용품 처리장,1
299,장지동,서울 송파구 새말로12길 16,공동주택,402동 앞 재활용품 처리장,1
300,장지동,서울 송파구 새말로12길 16,공동주택,404동 앞 재활용품 처리장,1
301,장지동,서울 송파구 충민로4길 5,공동주택,501동 출입구 부근,1
302,장지동,서울 송파구 충민로4길 5,공동주택,502동 출입구 부근,1
303,장지동,서울 송파구 충민로4길 5,공동주택,503동 출입구 부근,1
304,장지동,서울 송파구 충민로4길 5,공동주택,504동 1층 필로티 자전거보관소 옆,1
305,장지동,서울 송파구 충민로4길 5,공동주택,505동 출입구 부근,1
306,장지동,서울 송파구 충민로4길 5,공동주택,506동 3~4호라인 출입구 부근,1
307,장지동,서울 송파구 충민로6길 14,공동주택,601동 중문 경비실 앞 재활용품 처리장,1
308,장지동,서울 송파구 충민로6길 14,공동주택,604동 앞 재활용품 처리장,1
309,장지동,서울 송파구 충민로6길 14,공동주택,607동 앞 재활용품 처리장,1
310,장지동,서울 송파구 충민로4길 19,공동주택,701동 5호라인 필로티,1
311,장지동,서울 송파구 충민로4길 19,공동주택,702동 5호라인 필로티,1
312,장지동,서울 송파구 충민로4길 19,공동주택,703동 6호라인 필로티,1
313,장지동,서울 송파구 충민로4길 6,공동주택,801동 1초소 경비실 앞 재활용품 처리장,1
314,장지동,서울 송파구 충민로4길 6,공동주택,801동 1~5호 라인 앞 재활용품 처리장,1
315,장지동,서울 송파구 충민로4길 6,공동주택,803동 2초소 경비실 옆 재활용품 처리장,1
316,장지동,서울 송파구 충민로4길 6,공동주택,804동 앞 재활용품 처리장,1
317,장지동,서울 송파구 충민로4길 6,공동주택,805동 앞 재활용품 처리장,1
318,장지동,서울 송파구 송파대로8길 17,공동주택,901동 앞 재활용품 처리장,1
319,장지동,서울 송파구 송파대로8길 17,공동주택,902동 앞 재활용품 처리장,1
320,장지동,서울 송파구 송파대로8길 17,공동주택,903동 앞 재활용품 처리장,1
321,장지동,서울 송파구 송파대로8길 17,공동주택,904동 앞 재활용품 처리장,1
322,장지동,서울 송파구 송파대로8길 17,공동주택,905동 앞 재활용품 처리장,1
323,장지동,서울 송파구 송파대로8길 17,공동주택,906동 앞 재활용품 처리장,1
324,장지동,서울 송파구 송파대로8길 17,공동주택,907동 앞 재활용품 처리장,1
325,장지동,서울 송파구 송파대로8길 20,공동주택,1002동 1층 필로티 1~2호라인 출입구 옆,1
326,장지동,서울 송파구 송파대로8길 20,공동주택,1003동 뒤편 재활용품 처리장,1
327,장지동,서울 송파구 송파대로8길 20,공동주택,1006동 지하주차장 램프 옆 재활용품 처리장,1
328,장지동,서울 송파구 송파대로8길 20,공동주택,1007동 1층 필로티 6호라인 옆,1
329,장지동,서울 송파구 송파대로8길 20,공동주택,1009동 1층 필로티 4호라인 옆,1
330,장지동,서울 송파구 송파대로 8길 58,공동주택,1104동~1105동 사이 재활용품 수거장,1
331,장지동,서울 송파구 송파대로 8길 42,공동주택,1201동 뒤 재활용품 처리장,1
332,장지동,서울 송파구 송파대로 8길 42,공동주택,1204동 뒤 재활용품 처리장,1
