순번,상호명,수거종류,수거방법,수거장소(주소),장소구분,수거비용
100,(LGU+)B LGVIP플러스통북시장점,폐휴대폰,수거함 설치,경기 평택시 중앙로 2 ,민팃ATM,무상
101,(LGU+)B LGYH텔레콤현진에버빌,폐휴대폰,수거함 설치,경북 구미시 옥계북로 60-1 ,민팃ATM,무상
102,(LGU+)B LG가온텔레콤산본역점,폐휴대폰,수거함 설치,경기 군포시 산본로323번길 16-12 ,민팃ATM,무상
103,(LGU+)B LG가족모바일연수역점,폐휴대폰,수거함 설치,인천 연수구 먼우금로 190 ,민팃ATM,무상
104,(LGU+)B LG갈산직영점갈산사거리점,폐휴대폰,수거함 설치,인천 부평구 주부토로 223 ,민팃ATM,무상
105,(LGU+)B LG강릉U플러스사거리점,폐휴대폰,수거함 설치,강원 강릉시 교동광장로 125 ,민팃ATM,무상
106,(LGU+)B LG강서소매영업팀오목교점,폐휴대폰,수거함 설치,서울 양천구 오목로 287 ,민팃ATM,무상
107,(LGU+)B LG거명정보통신의료원점,폐휴대폰,수거함 설치,전남 순천시 중앙로 126 ,민팃ATM,무상
108,(LGU+)B LG거인새싹로점,폐휴대폰,수거함 설치,부산 부산진구 새싹로 182 ,민팃ATM,무상
109,(LGU+)B LG경호통신서수원점,폐휴대폰,수거함 설치,경기 수원시 권선구 구운중로4번길 10 ,민팃ATM,무상
110,(LGU+)B LG공스모바일목감점,폐휴대폰,수거함 설치,경기 시흥시 목감중앙로 53 ,민팃ATM,무상
111,(LGU+)B LG광수텔레콤새마을시장점,폐휴대폰,수거함 설치,경기 광명시 광명로 833 ,민팃ATM,무상
112,(LGU+)B LG광컴퍼니구산역점,폐휴대폰,수거함 설치,서울 은평구 연서로 137 ,민팃ATM,무상
113,(LGU+)B LG굿피플플러스북아현로점,폐휴대폰,수거함 설치,서울 서대문구 북아현로 20 ,민팃ATM,무상
114,(LGU+)B LG나눔정보통신농협사거리점,폐휴대폰,수거함 설치,충북 괴산군 괴산읍 읍내로2길 60 ,민팃ATM,무상
115,(LGU+)B LG나래내손점,폐휴대폰,수거함 설치,경기 의왕시 포일로 43 ,민팃ATM,무상
116,(LGU+)B LG나인텔레콤골목시장점,폐휴대폰,수거함 설치,부산 사하구 장평로 300 ,민팃ATM,무상
117,(LGU+)B LG나인텔레콤과학산단로점,폐휴대폰,수거함 설치,부산 강서구 과학산단로306번길 10 ,민팃ATM,무상
118,(LGU+)B LG나인텔레콤신호산단2로점,폐휴대폰,수거함 설치,부산 강서구 신호산단2로 33 ,민팃ATM,무상
119,(LGU+)B LG넘버원행신역점,폐휴대폰,수거함 설치,경기 고양시 덕양구 충경로 44 ,민팃ATM,무상
120,(LGU+)B LG넝쿨정보북교사거리점,폐휴대폰,수거함 설치,경기 부천시 부천로 107-2 ,민팃ATM,무상
