연번,유형,도로명주소,지번주소,위치 ,위도,경도,보유 수량
69,폐형광등·폐전지통합형,서울특별시 관악구 양녕로6다길 7,서울특별시 관악구 봉천동 1512-7,중앙동주민센터,37.48419282,126.9497511,1
70,폐형광등·폐전지통합형,서울특별시 관악구 은천로 174,서울특별시 관악구 봉천동 41-857,중앙동성당 주차장 오른쪽,37.48569714,126.9541767,1
71,폐건전지함,서울특별시 관악구 양녕로6나길 18,서울특별시 관악구 봉천동 1705,신봉아파트 정문 왼쪽,37.48455395,126.9489277,1
72,폐형광등·폐전지통합형,서울특별시 관악구 관악로30길 27,서울특별시 관악구 봉천동 1717,관악푸르지오아파트 119동,37.48896635,126.9606433,1
73,폐형광등·폐전지통합형,서울특별시 관악구 관악로30길 27,서울특별시 관악구 봉천동 1717,관악푸르지오아파트 107동,37.48896635,126.9606433,1
74,폐형광등·폐전지통합형,서울특별시 관악구 관악로 304,서울특별시 관악구 봉천동 1000,관악현대아파트 113동,37.49205057,126.957711,1
75,폐형광등·폐전지통합형,서울특별시 관악구 관악로40길 39,서울특별시 관악구 봉천동 1000,청림동 주민센터,37.49184717,126.9586277,1
76,폐형광등·폐전지통합형,서울특별시 관악구 관악로 304,서울특별시 관악구 봉천동 1000,관악현대아파트 109동,37.49205057,126.957711,1
77,폐형광등·폐전지통합형,서울특별시 관악구 관악로 304,서울특별시 관악구 봉천동 1000,관악현대아파트 116동,37.49205057,126.957711,1
78,폐형광등·폐전지통합형,서울특별시 관악구 관악로 304,서울특별시 관악구 봉천동 1000,관악현대아파트 103동,37.49205057,126.957711,1
79,폐건전지함,서울특별시 관악구 관악로40길 39,서울특별시 관악구 봉천동 1000,청림동 주민센터,37.49184717,126.9586277,1
80,폐형광등·폐전지통합형,서울특별시 관악구 관악로30길 12,서울특별시 관악구 봉천동 1706,봉천우성아파트 104동,37.48409831,126.9606845,1
81,폐형광등·폐전지통합형,서울특별시 관악구 행운1길 43,서울특별시 관악구 봉천동 1670-7,행운동주민센터,37.48064257,126.9570309,2
82,폐형광등·폐전지통합형,서울특별시 관악구 관악로30길 12,서울특별시 관악구 봉천동 1706,봉천우성아파트 109동 임대,37.48409831,126.9606845,1
83,폐형광등·폐전지통합형,서울특별시 관악구 관악로30길 12,서울특별시 관악구 봉천동 1706,봉천우성아파트 106동,37.48409831,126.9606845,1
84,폐형광등·폐전지통합형,서울특별시 관악구 행운9길 34,서울특별시 관악구 봉천동 1724-2,행운동 경로당,37.48340328,126.9596572,1
85,폐형광등·폐전지통합형,서울특별시 관악구 청룡15길 30,서울특별시 관악구 봉천동 1580-3,그린빌라 옆,37.47638333,126.9470811,1
86,폐형광등·폐전지통합형,서울특별시 관악구 관악로5길 42,서울특별시 관악구 봉천동 1700,갑을아파트 지하 주차장 입구,37.47508467,126.9520685,1
87,폐형광등·폐전지통합형,서울특별시 관악구 장군봉7길 12,서울특별시 관악구 봉천동 1533-2,비안 어린이공원,37.48046043,126.9397958,1
88,폐형광등·폐전지통합형,서울특별시 관악구 쑥고개로 44,서울특별시 관악구 봉천동 1539-1,청룡동주민센터 입구,37.4791175,126.9416407,1
89,폐형광등·폐전지통합형,서울특별시 관악구 쑥고개로 44,서울특별시 관악구 봉천동 1539-1,금강아미움아파트 105동 뒤편,37.4791175,126.9416407,1
90,폐형광등·폐전지통합형,,서울특별시 관악구 봉천동 1531-41,장군봉 근린공원 입구,37.48119817,126.9377027,1
91,폐형광등·폐전지통합형,서울특별시 관악구 청룡10길 45,서울특별시 관악구 봉천동 1730,e편한세상 서울대입구,37.47805021,126.9433555,8
92,폐형광등·폐전지통합형,서울특별시 관악구 참숯1길 19,서울특별시 관악구 봉천동 1733,e편한세상 서울대입구 2차,37.47838983,126.9417525,6
93,폐건전지함,서울특별시 관악구 쑥고개로 44,서울특별시 관악구 봉천동 1539-1,청룡동주민센터 입구,37.4791175,126.9416407,1
94,폐건전지함,서울특별시 관악구 청룡9길 12-39,서울특별시 관악구 봉천동 1577-15,청룡동 자치회관 입구,37.47804191,126.9464708,1
95,폐형광등·폐전지통합형,서울특별시 관악구 청룡7길 55,서울특별시 관악구 봉천동 1697,선경아파트,37.47980346,126.9491054,1
96,폐형광등·폐전지통합형,서울특별시 관악구 낙성대로 37,서울특별시 관악구 봉천동 296,낙성대현대아파트 관리사무소,37.47523654,126.9593965,1
97,폐형광등·폐전지통합형,서울특별시 관악구 관악로 1,서울특별시 관악구 신림동 산 56-1,서울대가족생활관 933동 관리사무실,37.46803806,126.9592943,1
98,폐형광등·폐전지통합형,서울특별시 관악구 낙성대로 101,서울특별시 관악구 봉천동 238,과학전시관,37.46881648,126.9594109,1
99,폐형광등·폐전지통합형,,서울특별시 관악구 봉천동 1510,탑골어린이공원 앞,37.47451989,126.9611358,1
